edad,repeticiones,fantasia,terror,misterio,drama,likee
15,44,1,,,1,1
15,24,,1,,1,1
15,3,1,,,,1
16,7,,1,1,,1
16,55,,,,,
17,15,1,,,,
17,73,,1,,,1
18,14,1,1,,1,1
18,53,1,1,,1,1
18,29,1,,,,1
18,8,1,,1,,
19,63,1,,1,,1
19,33,1,,1,1,1
20,78,1,,1,1,1
20,31,1,1,,,1
20,6,,,1,1,1
21,34,,1,,1,1
21,4,,1,,,
22,65,1,,,,1
22,45,1,1,1,1,1
23,35,,,,1,
23,49,1,,,,1
23,41,1,,,,
23,19,,1,,1,1
24,18,,,,,
24,72,,1,,1,1
24,61,1,,1,,1
24,54,1,1,1,1,1
25,26,1,1,,,1
25,46,1,1,1,,1
25,6,,1,,,1
26,44,1,,1,,1
26,79,,,1,,
26,53,,1,1,,1
26,37,1,,,,1
27,34,1,,,,1
27,6,,,1,1,1
28,4,1,,,1,1
28,49,,,1,1,
28,7,1,,,,
29,35,,,,1,
29,76,,,,,
29,59,,,1,1,
30,6,1,,,1,
30,79,,,,,
